author,title,description,url,source,image,category,language,country,published_at,topic
David Richards,LG To Launch 65″ Wireless TV With New AI WebOS That Captures More Data On Consumers,LG Electronics Australia is set to launch a new 65&#8243; wireless OLED TV that is set to incorporate new AI technology into their Smart TV WebOS platform so that they can capture and sell additional data on consumers who buy one of their wireless TVs claims insiders. The new LG wireless boxes that are seperate... Read More,https://www.channelnews.com.au/lg-to-launch-65-wireless-tv-with-new-ai-webos-that-captures-more-data-on-consumers/?utm_source=rss&utm_medium=rss&utm_campaign=lg-to-launch-65-wireless-tv-with-new-ai-webos-that-captures-more-data-on-consumers,channelnews,,general,en,au,2024-06-30T22:13:14+00:00,technology
Matthew Medsger,"Bay State’s election chief concerned about election denial, money in politics",Secretary of the Commonwealth Bill Galvin said that he and other state election officials have shared concerns over emerging technology -- like deep fakes and AI -- and over the increasing number of voters and politicians who are calling the legitimacy of elections into question.,https://www.bostonherald.com/2024/06/30/bay-states-election-chief-concerned-about-election-denial-money-in-politics/,bostonherald,https://www.bostonherald.com/wp-content/uploads/2024/01/galvinms002.jpg?w=1400px&strip=all,general,en,us,2024-06-30T22:04:35+00:00,technology
Business Wire,MOGAS Awarded Contract to Support TC2C™ New Technology,"HOUSTON &#8212; MOGAS Industries has been awarded a multimillion-dollar contract for the South Korean S-Oil Shaheen Project for the first-ever commercialization of TC2C™ (Thermal Crude to Chemicals) technology. The TC2C™ technology licensed by Lummus Technology converts whole crude and other refinery orphan streams into high value olefin and aromatic products, and includes one of the [&#8230;]",https://financialpost.com/pmn/business-wire-news-releases-pmn/mogas-awarded-contract-to-support-tc2c-new-technology,Financial Post | Canada Business News,,business,en,us,2024-06-30T21:01:28+00:00,technology
,"As police increasingly use facial recognition technology, calls grow for regulations",Legal and AI experts are calling on the federal government to set national standards as some police services use facial recognition technology to help solve crimes.,https://globalnews.ca/news/10597314/as-police-increasingly-use-facial-recognition-technology-calls-grow-for-regulations/,globalwinnipeg,https://globalnews.ca/wp-content/uploads/2024/06/5218a4a0-0b96-434e-b917-1ad2b0c04dc5.jpg?quality=85&strip=all&w=720&h=480&crop=1,general,en,us,2024-06-30T19:43:48+00:00,technology
Sarah Brookes,Going under: The flood-prone Perth suburbs at risk of being uninsurable,"There are some communities that modern technology and science now suggest, with the benefit of hindsight and projections, it might have been wiser not to build.",https://www.watoday.com.au/national/western-australia/going-under-the-flood-prone-perth-suburbs-at-risk-of-being-uninsurable-20240619-p5jn3t.html?ref=rss&utm_medium=rss&utm_source=rss_national_western-australia,watoday,https://static.ffx.io/images/$zoom_0.5515625%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_55/t_crop_custom/q_86%2Cf_auto/a5a7d2bbcdd5f4d04458f4400d29da7ec7ba65ed,general,en,au,2024-06-30T19:00:00+00:00,technology
Sarah Brookes,Going under: The flood-prone Perth suburbs at risk of being uninsurable,"There are some communities that modern technology and science now suggest, with the benefit of hindsight and projections, it might have been wiser not to build.",https://www.smh.com.au/national/western-australia/going-under-the-flood-prone-perth-suburbs-at-risk-of-being-uninsurable-20240619-p5jn3t.html?ref=rss&utm_medium=rss&utm_source=rss_feed,The Sydney Morning Herald,https://static.ffx.io/images/$zoom_0.5515625%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_55/t_crop_custom/q_86%2Cf_auto/a5a7d2bbcdd5f4d04458f4400d29da7ec7ba65ed,general,en,au,2024-06-30T19:00:00+00:00,technology
Sarah Brookes,Going under: The flood-prone Perth suburbs at risk of being uninsurable,"There are some communities that modern technology and science now suggest, with the benefit of hindsight and projections, it might have been wiser not to build.",https://www.watoday.com.au/national/western-australia/going-under-the-flood-prone-perth-suburbs-at-risk-of-being-uninsurable-20240619-p5jn3t.html?ref=rss&utm_medium=rss&utm_source=rss_feed,watoday,https://static.ffx.io/images/$zoom_0.5515625%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_55/t_crop_custom/q_86%2Cf_auto/a5a7d2bbcdd5f4d04458f4400d29da7ec7ba65ed,general,en,au,2024-06-30T19:00:00+00:00,technology
Sarah Brookes,Going under: The flood-prone Perth suburbs at risk of being uninsurable,"There are some communities that modern technology and science now suggest, with the benefit of hindsight and projections, it might have been wiser not to build.",https://www.brisbanetimes.com.au/national/western-australia/going-under-the-flood-prone-perth-suburbs-at-risk-of-being-uninsurable-20240619-p5jn3t.html?ref=rss&utm_medium=rss&utm_source=rss_national,brisbanetimes,https://static.ffx.io/images/$zoom_0.5515625%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_55/t_crop_custom/q_86%2Cf_auto/a5a7d2bbcdd5f4d04458f4400d29da7ec7ba65ed,general,en,au,2024-06-30T19:00:00+00:00,technology
Sarah Brookes,Going under: The flood-prone Perth suburbs at risk of being uninsurable,"There are some communities that modern technology and science now suggest, with the benefit of hindsight and projections, it might have been wiser not to build.",https://www.brisbanetimes.com.au/national/western-australia/going-under-the-flood-prone-perth-suburbs-at-risk-of-being-uninsurable-20240619-p5jn3t.html?ref=rss&utm_medium=rss&utm_source=rss_feed,Brisbane Times,https://static.ffx.io/images/$zoom_0.5515625%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_55/t_crop_custom/q_86%2Cf_auto/a5a7d2bbcdd5f4d04458f4400d29da7ec7ba65ed,general,en,au,2024-06-30T19:00:00+00:00,technology
Sarah Brookes,Going under: The flood-prone Perth suburbs at risk of being uninsurable,"There are some communities that modern technology and science now suggest, with the benefit of hindsight and projections, it might have been wiser not to build.",https://www.theage.com.au/national/western-australia/going-under-the-flood-prone-perth-suburbs-at-risk-of-being-uninsurable-20240619-p5jn3t.html?ref=rss&utm_medium=rss&utm_source=rss_feed,The Age,https://static.ffx.io/images/$zoom_0.5515625%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_55/t_crop_custom/q_86%2Cf_auto/a5a7d2bbcdd5f4d04458f4400d29da7ec7ba65ed,general,en,au,2024-06-30T19:00:00+00:00,technology
