source,author,title,description,url,urlToImage,publishedAt,content,topic
"{'id': None, 'name': 'Hollywood Life'}",Jessica Acosta,Celine Dion Suffers Seizure During Her Battle With Stiff Person Syndrome,Celine Dion was documented going through a seizure in her new documentary.,https://hollywoodlife.com/2024/06/25/celine-dion-had-a-scary-moment-while-battling-stiff-person-syndrome/,https://hollywoodlife.com/wp-content/uploads/2024/06/GettyImages-2158042148-2.jpg?quality=100,2024-06-25T23:20:34Z,"Image Credit: Getty Images
Celine Dionwent through a scary seizure that was filmed during her new documentary I Am: Celine Dion all while battling through Stiff Person Syndrome. 
The 56-year-old si… [+1811 chars]",sports
"{'id': None, 'name': 'The Punch'}",Abiodun Adewale,How Eagles invitation inspired Obasogie’s NPFL record,"Bendel Insurance goalkeeper Amas Obasogie, who has just set a new record of clean sheets (18) in the Nigeria Premier Football League, has attributed the feat to his Super Eagles invitation at the start of the 2023–24 season as well as the efforts of Bendel In…",https://punchng.com/how-eagles-invitation-inspired-obasogies-npfl-record/,https://cdn.punchng.com/wp-content/uploads/2024/06/25220937/Amas-Obasogie.jpg,2024-06-25T23:20:06Z,"Bendel Insurance goalkeeper Amas Obasogie, who has just set a new record of clean sheets (18) in the Nigeria Premier Football League, has attributed the feat to his Super Eagles invitation at the sta… [+2924 chars]",sports
"{'id': None, 'name': 'The Punch'}",Our Reporters,Odigbo: Finland-born Nigerian prodigy who thrives on fufu,His father was a semi-professional footballer in Finland and Denmark before an injury forced him to pursue a career in surgery nursing and nephrologist nursing. This introduction becomes pertinent before the questioning of how prodigiously talented 13-year-ol…,https://punchng.com/odigbo-finland-born-nigerian-prodigy-who-thrives-on-fufu/,https://cdn.punchng.com/wp-content/uploads/2024/06/25220722/Gabriel-Odigbo.jpg,2024-06-25T23:20:04Z,"His father was a semi-professional footballer in Finland and Denmark before an injury forced him to pursue a career in surgery nursing and nephrologist nursing.
This introduction becomes pertinent b… [+4492 chars]",sports
"{'id': None, 'name': 'The Punch'}",Peter Akinbo,Pereira rules out Adesanya trilogy,"UFC light heavyweight champion Alex Pereira has ruled out a possible return to middleweight for a third fight against former champion Israel Adesanya, PUNCH Sports Extra reports. In a recent interview, Pereira made it clear that a trilogy fight with Adesanya …",https://punchng.com/pereira-rules-out-adesanya-trilogy/,https://cdn.punchng.com/wp-content/uploads/2023/04/08020555/Israel-Adesanya-and-Pereira.jpg,2024-06-25T23:19:57Z,"UFC light heavyweight champion Alex Pereira has ruled out a possible return to middleweight for a third fight against former champion Israel Adesanya, PUNCH Sports Extra reports.
In a recent intervi… [+2234 chars]",sports
"{'id': None, 'name': 'The Daily Caller'}",Andrew Powell,Jim Schlossnagle Completely Stabs Texas A&M In The Back By Joining Hated Longhorns: REPORT,Absolutely diabolical,https://dailycaller.com/2024/06/25/jim-schlossnagle-texas-am-longhorns-rivals-college-baseball/,https://cdn01.dailycaller.com/wp-content/uploads/2024/06/GettyImages-1477613702-scaled-e1719357214454.jpg,2024-06-25T23:19:49Z,"Absolutely diabolical!
In a move that wasn’t shocking to anybody, the Texas Longhorns made the announcement Monday morning, per Sports Illustrated, that David Pierce would no longer be their basebal… [+1514 chars]",sports
"{'id': None, 'name': 'The Punch'}",Raphael Ede,"Rangers, fans celebrate NPFL win in style","Enugu Rangers on Monday evening celebrated their 2023/24 Nigeria Premier Football League title win in grand style at the Okpara Square in Enugu amid thousands of ecstatic fans, The PUNCH reports. The team’s triumphant return to Enugu followed their thrilling …",https://punchng.com/rangers-fans-celebrate-npfl-win-in-style/,https://cdn.punchng.com/wp-content/uploads/2024/06/23213601/NPFL.jpg,2024-06-25T23:19:40Z,"Enugu Rangers on Monday evening celebrated their 2023/24 Nigeria Premier Football League title win in grand style at the Okpara Square in Enugu amid thousands of ecstatic fans, The PUNCH reports.
Th… [+2420 chars]",sports
"{'id': 'usa-today', 'name': 'USA Today'}",Robert Zeglinski,Zach Edey’s NBA Draft odds to go in the top 10 have become surprisingly realistic,Zach Edey getting selected this early in the NBA Draft would be absurd.,https://ftw.usatoday.com/2024/06/zach-edey-nba-draft-top-10-odds-surging-realistic,https://ftw.usatoday.com/wp-content/uploads/sites/90/2024/06/USATSI_22980346-e1719356595854.jpg?w=1024&h=576&crop=1,2024-06-25T23:18:26Z,"While Zach Edey was a standout college player with the Purdue Boilermakers, some NBA scouts have expressed skepticism about whether the big man’s skill set would translate to the next level.
It’s a … [+1941 chars]",sports
"{'id': 'usa-today', 'name': 'USA Today'}",Data Skrive,"How to watch Euro 2024 on Wednesday, June 26: Streaming live and TV channel info for every match","Sit back, relax, and watch all of Wednesday’s 2024 UEFA European Championship action. The full list of start times and TV channels can be found below.Watch UEFA Euro 2024 GamesRomania vs. Slo…",https://ftw.usatoday.com/article/how-to-watch-euro-2024-on-wednesday-june-26-streaming-live-and-tv-channel-info-for-every-match,https://ftw.usatoday.com/wp-content/uploads/sites/90/2024/06/23265363-26.jpg?w=1024&h=576&crop=1,2024-06-25T23:17:00Z,"Sit back, relax, and watch all of Wednesday’s 2024 UEFA European Championship action. The full list of start times and TV channels can be found below.
Watch the Euros on FuboWatch UEFA Euro 2024 Gam… [+2279 chars]",sports
"{'id': None, 'name': 'Minneapolis Star Tribune'}",Joe Christensen,"Natalie Darwitz, Krissy Wendell-Pohl named to Hockey Hall of Fame in Toronto",Minnesota hockey icons Natalie Darwitz and Krissy Wendell-Pohl are part of a seven member Hall of Fame Class that will be honored in Toronto on Nov. 11.,https://www.startribune.com/natalie-darwitz-krissy-wendell-pohl-hockey-hall-of-fame-toronto/600376166/,https://arc.stimg.co/startribunemedia/FTJIDEVE5NFH7AZRX3MS3OO6P4.JPG?h=630&w=1200&fit=crop&bg=999&crop=faces,2024-06-25T23:16:34Z,"For the first time in the history of the Hockey Hall of Fame in Toronto, two women have been voted into the same induction class.
The sport has two Minnesota icons to thank for that.
Natalie Darwit… [+4305 chars]",sports
"{'id': None, 'name': 'New York Post'}",Ryan Glasspiegel,Caitlin Clark-Angel Reese III draws highest WNBA ratings in 23 years,The Caitlin Clark-Angel Reese rivalry continues to be a goldmine for the WNBA and its TV partners.,https://nypost.com/2024/06/25/sports/caitlin-clark-angel-reese-iii-nets-highest-wnba-ratings-in-23-years/,https://nypost.com/wp-content/uploads/sites/2/2024/06/newspress-collage-5jg0zap57-1719355710854.jpg?quality=75&strip=all&1719341375&w=1024,2024-06-25T23:13:49Z,"The Caitlin Clark-Angel Reese rivalry continues to be a goldmine for the WNBA and its TV partners.
Sunday’s matchup between the Chicago Sky and Indiana Fever drew 2.302 million viewers on ESPN, the … [+2719 chars]",sports
